geometry;name;indexOfID;id
POINT(-25.4408012 -49.2365994);Estacao Urbano Lopes;0;1
POINT(-25.4381504 -49.2386508);Estacao Jardim Botanico;1;2
POINT(-25.4356383 -49.2565867);Estacao Rodoferroviaria;2;3
POINT(-25.4357074 -49.2607644);Esta??o Mariano Torres;3;4
POINT(-25.4726293 -49.2943978);Estacao Carlos Dietzsch;4;5
POINT(-25.4676313 -49.2931525);Estacao Morretes;5;6
POINT(-25.4646556 -49.2912392);Estacao Vital Brasil;6;7
POINT(-25.4611839 -49.2897801);Estacao Sebastiao Parana;7;8
POINT(-25.4483943 -49.2879144);Estacao Silva Jardim;8;9
POINT(-25.4447181 -49.2851008);Esta??o Bento Viana - Sta Candida/Cap?o Raso - Pinheirinho;9;10
POINT(-25.4299767 -49.2675166);Esta??o Central - Santa Candida/Cap?o Raso;10;11
POINT(-25.4376271 -49.266615);Estacao Praca Eufrasio Correia;11;12
POINT(-25.5357819 -49.2744214);null;12;13
POINT(-25.5346461 -49.2826655);null;13;14
POINT(-25.5308615 -49.287745);null;14;15
POINT(-25.52808 -49.2914937);null;15;16
POINT(-25.4410443 -49.2755736);Estacao Osvaldo Cruz;16;17
POINT(-25.4377181 -49.2339226);null;17;18
POINT(-25.4089024 -49.2715436);Linha Turismo - Bosque do Papa;18;19
POINT(-25.4089531 -49.2665411);Linha Turismo - Museu Oscar Niemeyer;19;20
POINT(-25.407168 -49.2855958);Linha Turismo - Bosque Alem?o;20;21
POINT(-25.4044447 -49.2884577);Linha Turismo - Bosque Alem?o;21;22
POINT(-25.3855026 -49.2752012);Linha Turismo - ?pera de Arame;22;23
POINT(-25.3783875 -49.2807956);Linha Turismo - Parque Tangu?;23;24
POINT(-25.4230967 -49.3060734);Linha Turismo - Parque Barigui;24;25
POINT(-25.4237459 -49.2945661);Torre Panor?mica;25;26
POINT(-25.4024527 -49.3056897);Linha Turismo - Memorial Ucraniano;26;27
POINT(-25.469024 -49.2981144);S?o Jorge;27;28
POINT(-25.4690395 -49.3004789);Interbairros II;28;29
POINT(-25.4686985 -49.2995348);S?o Jorge;29;30
POINT(-25.4674897 -49.299449);Interbairros II;30;31
POINT(-25.4591455 -49.3024232);Esta??o Santa Quit?ria;31;32
POINT(-25.4267856 -49.2521573);null;32;33
POINT(-25.3986534 -49.2824104);Linea Turismo: Universidade Livre do Meio Ambiente;33;34
POINT(-25.4235311 -49.2686963);Linha Turismo - Memorial Arabe;34;35
POINT(-25.4479627 -49.257238);Linha Turismo -Teatro Paiol;35;36
POINT(-25.4322914 -49.2744224);Linha Turismo - Prace Tiradentes;36;37
POINT(-25.428672 -49.2653595);Linha Turismo - Teatro Guaria;37;38
POINT(-25.4275421 -49.2746603);Linha Turismo -Setor Historico;38;39
POINT(-25.4419091 -49.2413343);Linha Turismo - Jardim Botanico;39;40
POINT(-25.4350117 -49.2758419);Linha Turismo - Rua das Flores;40;41
POINT(-25.4354269 -49.2570195);Linha Turismo - Mercado Municipal;41;42
POINT(-25.4258192 -49.2551033);Rua Almirante Tamandar?, 800;42;43
POINT(-25.4273021 -49.2547418);Mal. Deodoro, 1800;43;44
POINT(-25.5169146 -49.2304215);Terminal Boqueir?o;44;45
POINT(-25.5269263 -49.2373085);Esta??o Tubo Ara??;45;46
POINT(-25.4867399 -49.3416785);null;46;47
POINT(-25.481461 -49.3397271);Linha Porto Belo;47;48
POINT(-25.4837079 -49.3403923);null;48;49
POINT(-25.4853737 -49.3407892);null;49;50
POINT(-25.4870686 -49.3438872);null;50;51
POINT(-25.4847249 -49.3450888);null;51;52
POINT(-25.4827491 -49.3456145);null;52;53
POINT(-25.4815385 -49.3372675);null;53;54
POINT(-25.4963122 -49.2703878);Esta??o Xaxim;54;55
POINT(-25.3887983 -49.2362453);Esta??o Fernando de Noronha - Santa Candida/Cap?o Raso;55;56
POINT(-25.3849721 -49.2326779);Esta??o Joaquim Nabuco - Santa Candida/Cap?o Raso;56;57
POINT(-25.4031776 -49.2494792);Esta??o Antonio Cavalheiros - Sta Candida/Cap?o Raso;57;58
POINT(-25.4394923 -49.2714519);Esta??o Alferes Poli - Sta Candida/Cap?o Raso;58;59
POINT(-25.4376224 -49.2666239);Esta??o Pra?a Eufrasio Correa - Sta Candida/Cap?o Raso - Pinhais/Rui Barbosa - Centen?rio/Campo Comprido;59;60
POINT(-25.4320018 -49.29667);Esta??o-tubo Bruno Filgueira;60;115
POINT(-25.4238478 -49.2684539);Esta??o Passeio P?blico - Santa Candida/Cap?o Raso;61;61
POINT(-25.4198132 -49.2649181);Esta??o Maria Clara - Sta Candida/Cap?o Raso;62;62
POINT(-25.4523227 -49.2878174);Esta??o Petit Carneiro - Sta Candida/Cap?o Raso - Pinheirinho;63;63
POINT(-25.4429123 -49.280432);Esta??o Coronel Dulcidio - Sta Candida/Cap?o Raso - Pinheirinho;64;64
POINT(-25.4415642 -49.2769599);Esta??o Pra?a Oswaldo Cruz - Sta Candida/Cap?o Raso - Pinheirinho;65;65
POINT(-25.4725064 -49.2943902);Esta??o Carlos Dietzch;66;66
POINT(-25.4646529 -49.2912345);Esta??o Vital Brasil;67;67
POINT(-25.4611754 -49.2897915);Esta??o Sebasti?o Paran?;68;68
POINT(-25.4879689 -49.294224);Esta??o-tubo Herculano de Ara?jo;69;69
POINT(-25.4845066 -49.2937144);Esta??o-tubo Hospital do Trabalhador;70;70
POINT(-25.4810393 -49.2925019);Esta??o Itajub? - Sta Candida/Cap?o Raso - Pinheirinho - Circular Sul;71;71
POINT(-25.4762366 -49.2925299);Terminal Port?o;72;72
POINT(-25.496312 -49.2868478);Interbairros II Sent Hauer - Alto Boqueir?o - Xaxim/Cap?o Raso - Sent Bairro;73;73
POINT(-25.4961861 -49.2839617);Interbairros II Sent Hauer - Alto Boqueir?o - Xaxim/Cap?o Raso - Sent Bairro;74;74
POINT(-25.4959924 -49.280389);Interbairros II Sent Hauer - Alto Boqueir?o - Xaxim/Cap?o Raso - Sent Bairro;75;75
POINT(-25.495852 -49.2777015);Interbairro II Sent Hauer;76;76
POINT(-25.4943945 -49.2815263);Interbairros II - Alto Boqueir?o - Xaxim/Cap?o Raso - Sent Cap?o Raso;77;77
