geometry;name;indexOfID;id
MULTIPOINT(14767859.5210392 -1445124.85895661);MONTROSE AV;0;1
MULTIPOINT(14769172.7830073 -1444517.20045988);GRAHAM AV;1;2
MULTIPOINT(14767381.5964914 -1445068.96218986);BROADWAY;2;3
MULTIPOINT(14769193.9249202 -1444114.53853167);KINGSLAND AV;3;4
MULTIPOINT(14766879.0736754 -1447411.37936652);VANDERBILT AV;4;5
MULTIPOINT(14766961.3955969 -1449432.03381956);Atlantic Av;5;6
MULTIPOINT(14767020.2531643 -1449472.57199753);Atlantic Av;6;7
MULTIPOINT(14767766.1737668 -1449157.4388638);Cadman Plz West;7;8
MULTIPOINT(14766940.99596 -1449025.76225367);LIVINGSTON ST;8;9
MULTIPOINT(14766441.3994528 -1447481.34115014);VANDERBILT AV;9;10
MULTIPOINT(14764058.9022487 -1445078.2248419);BERGEN ST;10;11
MULTIPOINT(14761450.3119441 -1443794.9278885);CHURCH AV;11;12
MULTIPOINT(14760282.9133133 -1447505.44892869);FOSTER AV;12;13
MULTIPOINT(14761634.6707334 -1444629.71555463);REMSEN AV;13;14
MULTIPOINT(14761955.9755393 -1443168.94918251);ROCKAWAY AV;14;15
MULTIPOINT(14762839.6985977 -1443710.83640264);SARATOGA AV;15;16
MULTIPOINT(14763569.482266 -1442247.97983831);FULTON ST;16;17
MULTIPOINT(14763515.3463739 -1443194.49858944);Thomas Boyland St;17;18
MULTIPOINT(14761228.6692475 -1443223.51982946);ROCKAWAY AV;18;19
MULTIPOINT(14765948.7074339 -1445427.4078518);TOMPKINS AV;19;20
MULTIPOINT(14764485.5563253 -1444874.23041935);TROY AV;20;21
MULTIPOINT(14766556.6947588 -1445068.47195345);MYRTLE AV;21;22
MULTIPOINT(14766652.3501963 -1445870.14744005);MYRTLE AV;22;23
MULTIPOINT(14766462.736047 -1443289.25667507);WILSON AV;23;24
MULTIPOINT(14765236.8131415 -1442319.95484932);WILSON AV;24;25
MULTIPOINT(14765831.4854206 -1443823.80264777);KOSSUTH PL;25;26
MULTIPOINT(14766160.1749506 -1442225.40252847);PALMETTO ST;26;27
MULTIPOINT(14767063.888561 -1444839.23163397);BROADWAY;27;28
MULTIPOINT(14763266.0985069 -1439424.13711823);Atlantic Av;28;29
MULTIPOINT(14765564.420443 -1445497.07769284);GATES AV;29;30
MULTIPOINT(14762100.905998 -1453176.62834264);60 ST;30;31
MULTIPOINT(14761352.0149591 -1452607.5976464);60 ST;31;32
MULTIPOINT(14757211.3307746 -1452250.42959007);BAY PKWY;32;33
MULTIPOINT(14758517.8290962 -1452105.8905842);BAY RIDGE PKWY;33;34
MULTIPOINT(14758851.2414191 -1452373.56902793);BAY RIDGE PKWY;34;35
MULTIPOINT(14758658.2497474 -1453704.88152584);14 AV;35;36
MULTIPOINT(14757218.0970318 -1452281.46945354);BAY PKWY;36;37
MULTIPOINT(14754145.3717449 -1450832.7570385);NEPTUNE AV;37;38
MULTIPOINT(14754136.6737868 -1450009.76980133);Coney Island Av;38;39
MULTIPOINT(14755224.2285003 -1449803.28534718);Coney Island Av;39;40
MULTIPOINT(14755048.7885556 -1448011.62579948);NOSTRAND AV;40;41
MULTIPOINT(14756960.4835497 -1449929.37715865);KINGS HWY;41;42
MULTIPOINT(14755760.5171626 -1447517.06088731);AV U;42;43
MULTIPOINT(14755550.610852 -1447159.00241213);GERRITSEN AV;43;44
MULTIPOINT(14763407.1186865 -1444786.88361751);ST JOHNS PL;44;45
MULTIPOINT(14763181.7775855 -1444152.00013773);ST JOHNS PL;45;46
MULTIPOINT(14762417.8660629 -1441763.4077291);Sutter Av;46;47
MULTIPOINT(14762404.3830782 -1441809.42409195);Pennsylvania Av;47;48
MULTIPOINT(14761836.5274751 -1441851.96416342);Pennsylvania Av;48;49
MULTIPOINT(14755806.7935267 -1447885.83830953);AV U;49;50
MULTIPOINT(14754706.0087313 -1449492.37142132);AV Z;50;51
MULTIPOINT(14757159.883087 -1444402.02888376);AV U;51;52
MULTIPOINT(14762649.2498717 -1445111.74790263);EMPIRE BLVD;52;53
MULTIPOINT(14762255.6756518 -1439511.96778496);SUTTER AV;53;54
MULTIPOINT(14762374.8403805 -1441189.89608867);SUTTER AV;54;55
MULTIPOINT(14761577.5055088 -1441652.62593353);NEW LOTS AV;55;56
MULTIPOINT(14761932.7317597 -1440008.32950931);DUMONT AV;56;57
MULTIPOINT(14763468.6049867 -1441675.2127113);JAMAICA AV;57;58
MULTIPOINT(14761506.2717899 -1441851.37520115);Pennsylvania Av;58;59
MULTIPOINT(14761821.6837291 -1440693.64795546);NEW LOTS AV;59;60
MULTIPOINT(14761620.3154832 -1441488.96185638);NEW LOTS AV;60;61
MULTIPOINT(14759746.2317922 -1447800.29596099);GLENWOOD RD;61;62
MULTIPOINT(14757935.5922625 -1445091.47442293);RALPH AV;62;63
MULTIPOINT(14759054.4296196 -1444419.7046195);FLATLANDS AV;63;64
MULTIPOINT(14753934.6222291 -1448342.09628146);EMMONS AV;64;65
MULTIPOINT(14768919.7008293 -1445949.48732037);DRIGGS AV;65;66
MULTIPOINT(14768713.56907 -1445017.35219052);METROPOLITAN AV;66;67
MULTIPOINT(14766320.21047 -1446727.41132351);DEKALB AV;67;68
MULTIPOINT(14767086.011928 -1448124.42855365);MYRTLE AV;68;69
MULTIPOINT(14763975.9170041 -1444843.84750692);BERGEN ST;69;70
MULTIPOINT(14763400.2270926 -1444824.39839395);ST JOHNS PL;70;71
MULTIPOINT(14764415.2150552 -1445482.15243066);KINGSTON AV;71;72
MULTIPOINT(14763281.7181201 -1438884.68631661);Atlantic Av;72;73
MULTIPOINT(14762778.1576473 -1439026.55985346);GRANT AV;73;74
MULTIPOINT(14763454.9475599 -1439397.96334984);CRESCENT ST;74;75
MULTIPOINT(14765468.7172746 -1444686.53563591);GATES AV;75;76
MULTIPOINT(14766072.6142068 -1444662.64536942);DEKALB AV;76;77
MULTIPOINT(14767922.8826937 -1448371.40875378);SANDS ST;77;78
MULTIPOINT(14766352.0655017 -1446993.2228238);DEKALB AV;78;79
MULTIPOINT(14766549.4391954 -1445355.67636292);TOMPKINS AV;79;80
MULTIPOINT(14765213.5918195 -1448189.7706447);7 AV;80;81
MULTIPOINT(14758210.2748722 -1448938.71192576);AV M;81;82
MULTIPOINT(14766933.5783557 -1447664.78007187);MYRTLE AV;82;83
MULTIPOINT(14766080.9686406 -1448450.93843223);Atlantic Av;83;84
MULTIPOINT(14764959.4743252 -1444791.73566943);HALSEY ST;84;85
MULTIPOINT(14761376.0223649 -1442473.14946924);NEW LOTS AV;85;86
MULTIPOINT(14763191.8552806 -1441716.65181251);Atlantic Av;86;87
MULTIPOINT(14761546.7543884 -1441830.32044308);NEW LOTS AV;87;88
MULTIPOINT(14762267.9015803 -1439911.7355838);SUTTER AV;88;89
MULTIPOINT(14761666.9809849 -1448943.68677116);Coney Island Av;89;90
MULTIPOINT(14767698.9739113 -1444738.71728573);GRAHAM AV;90;91
MULTIPOINT(14766591.2800421 -1445363.11679737);MYRTLE AV;91;92
MULTIPOINT(14759209.2436427 -1446198.39158469);AV H;92;93
MULTIPOINT(14763226.6770025 -1451246.72911155);5 AV;93;94
MULTIPOINT(14759479.0124407 -1450022.83363785);AV I;94;95
MULTIPOINT(14765722.8027164 -1448375.45767671);5 AV;95;96
MULTIPOINT(14758450.8796942 -1450510.65829836);60 ST;96;97
MULTIPOINT(14764312.0586699 -1444389.96867764);UTICA AV;97;98
MULTIPOINT(14761336.6324087 -1445650.54833898);CHURCH AV;98;99
MULTIPOINT(14763587.6559691 -1445296.26773096);ST JOHNS PL;99;100
MULTIPOINT(14765714.9354306 -1446747.97646735);GATES AV;100;101
MULTIPOINT(14766587.727247 -1445079.99894849);THROOP AV;101;102
MULTIPOINT(14765009.7679131 -1445541.81174933);TOMPKINS AV;102;103
MULTIPOINT(14758332.2745496 -1445924.63177083);FLATLANDS AV;103;104
MULTIPOINT(14762790.9644745 -1443121.09186723);ROCKAWAY AV;104;105
